episode,prefix,completion,valid,reward,grammar_reward,tag_reward,axis_reward,noun_tag_dist,verb_tag_dist,adj_tag_dist,loss,baseline
23,PLAN GROW SPREAD SPREAD FAIL SPREAD,UPDATE CORRUPTED MAP UPDATE SENSOR UPDATE CONNECTED DORMANT CHAOTIC DORMANT ROBOT UPDATE KEY,0,1.2868,1.0000,0.9444,0.0175,1.0000,0.8333,1.0000,9.5306,0.5048
24,CALM HORSE MOVE STONE GROW BURN,FALL GROW,1,0.2626,0.0000,0.8667,0.0129,1.0000,0.6000,1.0000,-4.2112,0.4927
25,POWER SPREAD SPREAD SPREAD SPREAD SPREAD,GROW,1,0.2465,0.0000,0.6667,0.2327,1.0000,1.0000,0.0000,-1.6592,0.4804
26,LIE GROW GROW SPREAD,SPREAD,1,0.1591,0.0000,0.5000,0.0456,1.0000,0.5000,0.0000,-2.6392,0.4643
27,LANGUAGE SPREAD SPREAD GROW GROW SPREAD,GROW,1,0.1795,0.0000,0.5000,0.1474,1.0000,0.5000,0.0000,-2.6542,0.4501
28,FAMOUS WOMAN,TRUST METAL,0,1.3066,1.0000,1.0000,0.0332,1.0000,1.0000,1.0000,7.4362,0.4929
29,TIME SPREAD,GROW GROW,1,0.2513,0.0000,0.6667,0.2567,1.0000,1.0000,0.0000,-1.2950,0.4808
30,TRUSTED FOOD,MOVE WEAPON,1,0.2925,0.0000,0.8889,0.1294,0.6667,1.0000,1.0000,-1.6313,0.4714
31,TRAPPED WOMAN ATTACK DEAD SIMPLE LEADER,CHOOSE TRUTH,0,1.3540,1.0000,1.0000,0.2702,1.0000,1.0000,1.0000,15.9644,0.5156
32,PLAN GROW FAIL GROW GROW GROW,UPDATE PATTERN UPDATE DIRTY CONNECTED MAP GROW FAIL GROW UPDATE MEMORY SPREAD,0,1.2015,1.0000,0.6444,0.0408,0.6000,0.3333,1.0000,9.4543,0.5499
33,HOME,BURN,0,1.2524,1.0000,0.6667,0.2618,1.0000,1.0000,0.0000,3.2025,0.5850
34,COMPUTER GENERATE LAW BREAK MAP MOVE,CORRUPTED CAMERA UPDATE KEY,1,0.2343,0.0000,0.7778,0.0047,0.5000,0.8333,1.0000,-6.5082,0.5674
35,STRANGER EAT SMALL WOOD HEAR FEAR,BURN,1,0.2951,0.0000,0.9333,0.0755,1.0000,0.8000,1.0000,-5.5895,0.5538
36,ROAD,FALL,0,1.2333,1.0000,0.6667,0.1667,1.0000,1.0000,0.0000,3.1944,0.5878
37,CAR HEAR FAST SIMPLE INSECT MOVE,CALM CORRUPTED GUARD,1,0.2244,0.0000,0.7333,0.0220,0.8000,1.0000,0.4000,-7.3165,0.5696
38,WEAPON SPREAD GROW,FALL,1,0.2107,0.0000,0.6000,0.1534,1.0000,0.8000,0.0000,-2.7228,0.5517
39,FOOD BURN,GROW,0,1.1830,1.0000,0.5556,0.0817,1.0000,0.6667,0.0000,3.5209,0.5833
40,SIGNAL SPREAD,SPREAD,1,0.1020,0.0000,0.3333,0.0099,1.0000,0.0000,0.0000,-2.8555,0.5592
41,GUARD SEE TOOL BURN SEE DEAD,LEADER,1,0.3039,0.0000,0.8333,0.2694,0.5000,1.0000,1.0000,-5.0069,0.5464
42,KEY FALL SPREAD FALL FAIL SPREAD,GROW,1,0.1995,0.0000,0.6111,0.0810,1.0000,0.8333,0.0000,-4.9393,0.5291
43,CLEAN FOREST,GROW,0,1.3109,1.0000,1.0000,0.0546,1.0000,1.0000,1.0000,6.3643,0.5682
44,OUTCAST CROWD,FALL,1,0.3057,0.0000,1.0000,0.0286,1.0000,1.0000,1.0000,-2.0393,0.5551
45,CHILD RUN MOVE ROBOT SEE RIVER,RUN RUN,1,0.1651,0.0000,0.5333,0.0254,1.0000,0.6000,0.0000,-8.5403,0.5356
46,MEMORY FAIL SPREAD SPREAD SPREAD GROW,SPREAD,1,0.1633,0.0000,0.5333,0.0166,1.0000,0.6000,0.0000,-3.9749,0.5169
47,CHILD SEE HAPPY WEAK,CAT,1,0.2724,0.0000,0.8889,0.0289,0.6667,1.0000,1.0000,-3.7684,0.5047
48,POISON FAIL GROW SPREAD BURN FAIL,FAIL,1,0.1829,0.0000,0.5556,0.0813,1.0000,0.6667,0.0000,-4.0046,0.4886
49,INSECT SPREAD HEAR HAPPY ACTIVE HORSE,GROW HEAR AUTOMATED POWER,1,0.2499,0.0000,0.8222,0.0164,1.0000,0.6667,0.8000,-4.3384,0.4767
50,WOOD,FALL,1,0.2000,0.0000,0.6667,0.0000,1.0000,1.0000,0.0000,-1.3847,0.4629
51,MARKET,GROW,0,1.2480,1.0000,0.6667,0.2399,1.0000,1.0000,0.0000,3.9030,0.5021
52,WEAK FOOD,FALL,0,1.3198,1.0000,1.0000,0.0991,1.0000,1.0000,1.0000,6.8010,0.5430
53,WOLF ASK ASHAMED TRUSTED ELDER BUILD,FIRE FALL KNOW DIRTY FAMOUS TOOL,0,1.2392,1.0000,0.7524,0.0672,1.0000,0.8571,0.4000,13.1333,0.5778
54,MAP FALL,FALL FALL,1,0.1143,0.0000,0.3333,0.0714,1.0000,0.0000,0.0000,-3.2505,0.5546
55,DORMANT PHONE,FALL FALL,0,1.3493,1.0000,1.0000,0.2465,1.0000,1.0000,1.0000,6.4807,0.5944
56,CHILD WANT POISON WANT FEAR KNOW,KEY,1,0.1975,0.0000,0.6190,0.0587,0.8571,1.0000,0.0000,-9.0577,0.5745
57,WOLF THINK IDENTITY TRADE PROUD CONNECTED,STRANGER,1,0.3191,0.0000,0.9333,0.1956,0.8000,1.0000,1.0000,-5.6269,0.5617
58,CITY,FALL,0,1.2676,1.0000,0.6667,0.3378,1.0000,1.0000,0.0000,3.1766,0.5970
59,VAST DEBT,SPREAD,1,0.3032,0.0000,1.0000,0.0162,1.0000,1.0000,1.0000,-2.6174,0.5823
60,CAT SEE CHILD FOLLOW SAD ISOLATED,CROWD BURN BURN,1,0.2385,0.0000,0.7778,0.0259,0.3333,1.0000,1.0000,-7.7728,0.5652
61,SHARP FOOD BURN FALL GROW FALL,FALL,1,0.2531,0.0000,0.8333,0.0155,1.0000,0.5000,1.0000,-4.3250,0.5496
62,RULE,SPREAD,1,0.2027,0.0000,0.6667,0.0133,1.0000,1.0000,0.0000,-1.5566,0.5322
63,PRISON,FAIL,0,1.2189,1.0000,0.6667,0.0944,1.0000,1.0000,0.0000,3.1344,0.5665
64,DOG CARRY CLOCK RUN BREAK SAD,HORSE,1,0.2523,0.0000,0.8333,0.0117,0.5000,1.0000,1.0000,-6.5312,0.5508
65,WEAK MAP,SPREAD,0,1.3081,1.0000,1.0000,0.0404,1.0000,1.0000,1.0000,6.4048,0.5887
66,BRIDGE,FALL,0,1.2312,1.0000,0.6667,0.1559,1.0000,1.0000,0.0000,2.9607,0.6208
67,TRUTH GROW,GROW,1,0.1258,0.0000,0.3333,0.1288,1.0000,0.0000,0.0000,-3.0100,0.5961
68,CAR,UPDATE COMPLEX ENGINE UPDATE SLOW HEAVY SENSOR,0,1.2867,1.0000,0.9167,0.0584,0.7500,1.0000,1.0000,3.4025,0.6306
69,HEAVY CAT,RUN,0,1.3022,1.0000,1.0000,0.0111,1.0000,1.0000,1.0000,5.3858,0.6642
70,FREE PLAN GROW,SPREAD,1,0.3194,0.0000,1.0000,0.0968,1.0000,1.0000,1.0000,-3.1152,0.6469
71,PHONE,FALL,1,0.2537,0.0000,0.6667,0.2685,1.0000,1.0000,0.0000,-1.8403,0.6273
72,BIRD KNOW FOOD HELP ISOLATED WEAK,ELDER EAT REBELLIOUS GUARD,0,1.2854,1.0000,0.9333,0.0268,0.8000,1.0000,1.0000,14.1613,0.6602
73,WOMAN THINK CHILD BETRAY FREE,FREE DOG,0,1.1680,1.0000,0.5556,0.0067,0.6667,1.0000,0.0000,9.9908,0.6856
74,DIRTY SEED,SPREAD,0,1.4000,1.0000,1.0000,0.5000,1.0000,1.0000,1.0000,5.8704,0.7213
75,BORDER GROW,GROW,1,0.1193,0.0000,0.3333,0.0964,1.0000,0.0000,0.0000,-3.8475,0.6912
76,ORDERED LEADER,BUILD MAP,0,1.3073,1.0000,1.0000,0.0367,1.0000,1.0000,1.0000,5.3677,0.7220
77,LAW SPREAD,GROW,1,0.2574,0.0000,0.6667,0.2872,1.0000,1.0000,0.0000,-2.6712,0.6988
78,WEAK,WOLF BURN,1,0.4839,0.0000,1.0000,0.9194,1.0000,1.0000,1.0000,-0.9539,0.6880
79,DIRTY ELDER WANT CITY BETRAY WOMAN,CHOOSE ENCRYPTED GUARD,1,0.2446,0.0000,0.7667,0.0730,0.5000,0.8000,1.0000,-9.8034,0.6659
80,GUARD BURN MOVE COMPLEX SOLDIER BUILD,TRAPPED OBEDIENT CROWD SPREAD GROW FALL GROW BUILD SHARP BOOK,0,1.2309,1.0000,0.7500,0.0295,0.5000,0.7500,1.0000,10.7871,0.6941
81,ISOLATED MARKET,FALL,0,1.3515,1.0000,1.0000,0.2575,1.0000,1.0000,1.0000,5.1764,0.7270
82,MAN EAT CORRUPTED MAP WARN DENSE,ELDER,1,0.2585,0.0000,0.8333,0.0423,0.5000,1.0000,1.0000,-9.4929,0.7036
83,AUTOMATED CHOICE,UPDATE SENSOR,0,1.3183,1.0000,1.0000,0.0917,1.0000,1.0000,1.0000,4.7866,0.7343
84,HORSE,RUN FALL BURN MOVE TRUSTED METAL,0,1.3035,1.0000,1.0000,0.0177,1.0000,1.0000,1.0000,2.9717,0.7628
85,SIMPLE ELDER,FORGET DULL ELDER FALL,0,1.1786,1.0000,0.5556,0.0597,0.0000,1.0000,0.6667,3.5116,0.7835
86,LANGUAGE SPREAD GROW,GROW,1,0.1849,0.0000,0.5000,0.1745,1.0000,0.5000,0.0000,-4.7199,0.7536
87,WOOD BURN BURN,BURN,1,0.1003,0.0000,0.3333,0.0016,1.0000,0.0000,0.0000,-4.3343,0.7209
88,ISOLATED POISON,SPREAD,0,1.3833,1.0000,1.0000,0.4165,1.0000,1.0000,1.0000,5.1639,0.7541
89,CITY,SPREAD,0,1.2032,1.0000,0.6667,0.0162,1.0000,1.0000,0.0000,1.8748,0.7765
90,DEAD METAL,BURN,0,1.3403,1.0000,1.0000,0.2015,1.0000,1.0000,1.0000,4.5389,0.8047
91,ROAD,FALL,0,1.2333,1.0000,0.6667,0.1667,1.0000,1.0000,0.0000,1.9871,0.8261
92,TRAPPED,MAN EAT WOOD,1,0.4511,0.0000,1.0000,0.7556,1.0000,1.0000,1.0000,-1.7294,0.8074
93,ACTIVE INSECT SPREAD GROW,UPDATE SMALL PLAN GROW UPDATE BROKEN OPTIMAL CAMERA,0,1.2122,1.0000,0.6889,0.0278,1.0000,0.4000,0.6667,5.3787,0.8276
94,OBEDIENT ELDER MOVE DEAD,TRAPPED LEADER,0,1.1666,1.0000,0.4444,0.1665,0.0000,1.0000,0.3333,4.7646,0.8446
95,COMPLEX DRONE,GENERATE CORRUPTED BORDER,0,1.2769,1.0000,0.8889,0.0510,1.0000,1.0000,0.6667,3.7162,0.8662
96,ANGRY CHILD MOVE CHAOTIC CALM GUARD,RUN,1,0.2697,0.0000,0.8889,0.0153,1.0000,0.6667,1.0000,-11.7420,0.8364
97,STONE BURN,FALL,1,0.1673,0.0000,0.5556,0.0031,1.0000,0.6667,0.0000,-3.8235,0.8029
98,FOOD FALL,FALL,1,0.1038,0.0000,0.3333,0.0192,1.0000,0.0000,0.0000,-4.6011,0.7680
99,FAMOUS LAW,GROW,0,1.3783,1.0000,1.0000,0.3915,1.0000,1.0000,1.0000,5.2080,0.7985
100,SOLDIER,MOVE SLOW VAST ENGINE MOVE KEY,0,1.3126,1.0000,1.0000,0.0631,1.0000,1.0000,1.0000,2.4526,0.8242
101,ENCRYPTED MEMORY GROW SPREAD FAIL,UPDATE SMALL BROKEN DRONE GROW GROW,0,1.2608,1.0000,0.8333,0.0540,1.0000,0.5000,1.0000,5.7290,0.8460
102,DULL CAT,HEAR TRAPPED DULL GUARD,0,1.2360,1.0000,0.7222,0.0967,0.6667,1.0000,0.5000,3.2242,0.8655
103,WOOD BURN,BURN,1,0.1007,0.0000,0.3333,0.0036,1.0000,0.0000,0.0000,-4.9458,0.8273
104,SYSTEM,SPREAD,1,0.2105,0.0000,0.6667,0.0527,1.0000,1.0000,0.0000,-2.9867,0.7964
105,POWER SPREAD,SPREAD,1,0.1045,0.0000,0.3333,0.0225,1.0000,0.0000,0.0000,-3.9000,0.7618
106,SHARP DRONE ENCODE AUTOMATED SLOW,PLAN FAIL,0,1.2750,1.0000,0.8889,0.0416,1.0000,0.6667,1.0000,8.3126,0.7875
107,POISON SPREAD,GROW,1,0.2221,0.0000,0.6667,0.1106,1.0000,1.0000,0.0000,-3.5243,0.7592
108,METAL BURN,BURN,1,0.1009,0.0000,0.3333,0.0045,1.0000,0.0000,0.0000,-3.4894,0.7263
109,BORDER GROW,GROW GROW,1,0.1193,0.0000,0.3333,0.0964,1.0000,0.0000,0.0000,-4.1880,0.6960
110,LEADER,BREAK SMALL SIMPLE CLOCK GENERATE TIME,0,1.3198,1.0000,1.0000,0.0991,1.0000,1.0000,1.0000,2.8799,0.7272
111,BIRD KNOW ROOM WANT SEED HELP,SMALL HORSE,1,0.2697,0.0000,0.8889,0.0154,0.6667,1.0000,1.0000,-10.0094,0.7043
112,CHOICE GROW,GROW,1,0.1206,0.0000,0.3333,0.1031,1.0000,0.0000,0.0000,-3.8798,0.6751
113,SYSTEM GROW FAIL,GROW,1,0.1777,0.0000,0.5000,0.1385,1.0000,0.5000,0.0000,-4.1659,0.6502
114,CONNECTED HOME,GROW,0,1.3597,1.0000,1.0000,0.2985,1.0000,1.0000,1.0000,6.1578,0.6857
115,PROUD,STRANGER FALL,1,0.3843,0.0000,1.0000,0.4216,1.0000,1.0000,1.0000,-1.4116,0.6706
116,HOME,FALL,0,1.2564,1.0000,0.6667,0.2818,1.0000,1.0000,0.0000,2.6567,0.6999
117,MARKET,GROW,0,1.2480,1.0000,0.6667,0.2399,1.0000,1.0000,0.0000,2.4866,0.7273
118,BRIDGE,FALL,0,1.2312,1.0000,0.6667,0.1559,1.0000,1.0000,0.0000,2.2718,0.7525
119,BRIDGE,FALL,0,1.2312,1.0000,0.6667,0.1559,1.0000,1.0000,0.0000,2.1296,0.7765
120,LANGUAGE,SPREAD,1,0.2033,0.0000,0.6667,0.0163,1.0000,1.0000,0.0000,-3.0249,0.7478
121,FOREST,BURN FALL BURN,0,1.2040,1.0000,0.6667,0.0200,1.0000,1.0000,0.0000,2.1710,0.7706
122,LEADER BREAK OUTCAST SLOW,ELDER BURN,0,1.1068,1.0000,0.3333,0.0338,0.0000,0.0000,1.0000,4.6256,0.7874
123,STRONG FIRE FALL BURN,FALL MOVE SHARP KEY GROW GROW,1,0.1966,0.0000,0.6444,0.0161,0.6667,0.6000,0.6667,-7.9072,0.7579
124,FAMOUS CITY,GROW,0,1.3669,1.0000,1.0000,0.3346,1.0000,1.0000,1.0000,4.7013,0.7883
125,COMPUTER SEE FREE DOG MOVE ORDERED,WATER UPDATE BIG MAP FALL,0,1.2944,1.0000,0.9524,0.0432,1.0000,0.8571,1.0000,11.3258,0.8136
126,WEAK SEED,SPREAD,1,0.3487,0.0000,1.0000,0.2435,1.0000,1.0000,1.0000,-3.7546,0.7904
127,DEAD MAN,RUN,0,1.3262,1.0000,1.0000,0.1311,1.0000,1.0000,1.0000,4.4426,0.8172
128,CHANCE,GROW,1,0.2622,0.0000,0.6667,0.3110,1.0000,1.0000,0.0000,-2.6835,0.7894
129,RULE SPREAD,SPREAD,1,0.1007,0.0000,0.3333,0.0033,1.0000,0.0000,0.0000,-4.1863,0.7550
130,SHARP BIRD,FALL FALL GROW,1,0.3137,0.0000,1.0000,0.0687,1.0000,1.0000,1.0000,-3.6028,0.7329
131,PROUD,STRANGER RUN,1,0.3810,0.0000,1.0000,0.4051,1.0000,1.0000,1.0000,-1.7018,0.7153
132,ISOLATED GUARD,SEE OBEDIENT FREE ELDER SPREAD,0,1.2371,1.0000,0.6667,0.1853,0.0000,1.0000,1.0000,4.1367,0.7414
133,SENSOR,MOVE DENSE SIMPLE SENSOR FALL,1,0.2319,0.0000,0.6667,0.1593,0.0000,1.0000,1.0000,-2.4538,0.7159
134,STRANGER SEE BIG DRONE MOVE CONNECTED,WOOD,1,0.3192,0.0000,1.0000,0.0959,1.0000,1.0000,1.0000,-9.5959,0.6961
135,RULE,GROW,1,0.2622,0.0000,0.6667,0.3110,1.0000,1.0000,0.0000,-2.1209,0.6744
136,DOG SEE CORRUPTED BIG,COMPUTER,1,0.3616,0.0000,1.0000,0.3078,1.0000,1.0000,1.0000,-5.0583,0.6588
137,DIRTY MAP FAIL,FALL GROW,1,0.3349,0.0000,1.0000,0.1747,1.0000,1.0000,1.0000,-3.2963,0.6426
138,GUARD HEAR ISOLATED WOLF FALL,BURN,1,0.2929,0.0000,0.9333,0.0644,1.0000,0.8000,1.0000,-6.2615,0.6251
139,PRISON,FALL,0,1.2676,1.0000,0.6667,0.3378,1.0000,1.0000,0.0000,2.6543,0.6572
140,FEAR,SPREAD GROW,1,0.2311,0.0000,0.6667,0.1556,1.0000,1.0000,0.0000,-1.9124,0.6359
141,LIE,SPREAD,1,0.2129,0.0000,0.6667,0.0647,1.0000,1.0000,0.0000,-2.0977,0.6148
142,ELDER BREAK COMPLEX KEY TALK SEE,MAP WARN WOLF BETRAY VAST FREE BIRD WARN HAPPY IDENTITY TALK THINK FEAR,0,1.2330,1.0000,0.7533,0.0352,0.7778,0.6250,0.8571,13.1579,0.6457
143,PRISON,GROW,0,1.2306,1.0000,0.6667,0.1532,1.0000,1.0000,0.0000,2.3723,0.6749
144,ELDER,TALK FALL BURN,1,0.2153,0.0000,0.6667,0.0766,1.0000,1.0000,0.0000,-2.1184,0.6519
145,LIE GROW,GROW,1,0.1192,0.0000,0.3333,0.0959,1.0000,0.0000,0.0000,-3.8066,0.6253
146,ASHAMED WOMAN,RUN RUN FALL,1,0.3043,0.0000,1.0000,0.0216,1.0000,1.0000,1.0000,-2.2798,0.6092
147,FOOD,FALL,1,0.2106,0.0000,0.6667,0.0528,1.0000,1.0000,0.0000,-1.9804,0.5893
148,SMALL SENSOR,FAIL,1,0.3127,0.0000,1.0000,0.0636,1.0000,1.0000,1.0000,-2.4324,0.5755
149,BOOK,FALL,1,0.2360,0.0000,0.6667,0.1802,1.0000,1.0000,0.0000,-1.6501,0.5585
150,IDENTITY,SPREAD,1,0.2161,0.0000,0.6667,0.0807,1.0000,1.0000,0.0000,-1.6884,0.5414
151,ACTIVE CAT BUILD CAR SEE FAMOUS,CHAOTIC WEAPON,0,1.3416,1.0000,0.9333,0.3080,0.8000,1.0000,1.0000,16.5975,0.5814
152,DEAD LEADER BURN BURN,MOVE BROKEN DULL LEADER,0,1.1515,1.0000,0.3889,0.1743,0.0000,0.6667,0.5000,6.2411,0.6099
153,AUTOMATED LEADER,FALL FALL,0,1.3604,1.0000,1.0000,0.3020,1.0000,1.0000,1.0000,5.3892,0.6474
154,BIG MAP BURN,BURN,1,0.2047,0.0000,0.6667,0.0237,1.0000,0.0000,1.0000,-4.9474,0.6253
155,ISOLATED HOME,BURN,0,1.3109,1.0000,1.0000,0.0544,1.0000,1.0000,1.0000,4.8997,0.6596
156,CAR SEE PRISON,SEE CONNECTED DUST,1,0.2070,0.0000,0.6667,0.0348,1.0000,0.0000,1.0000,-4.7582,0.6369
157,FAMOUS DEBT,SPREAD,0,1.3114,1.0000,1.0000,0.0570,1.0000,1.0000,1.0000,5.6021,0.6707
158,FAST WOLF,HEAR RULE,1,0.3216,0.0000,1.0000,0.1079,1.0000,1.0000,1.0000,-2.8736,0.6532
159,BRIDGE,BURN BURN,0,1.2277,1.0000,0.6667,0.1383,1.0000,1.0000,0.0000,2.4580,0.6819
160,CHILD,BURN,1,0.2208,0.0000,0.6667,0.1039,1.0000,1.0000,0.0000,-2.2243,0.6589
161,PLAN,UPDATE KEY UPDATE BROKEN COMPUTER,1,0.3095,0.0000,1.0000,0.0475,1.0000,1.0000,1.0000,-1.7280,0.6414
162,ENGINE,ENCODE LIE SEE DUST,1,0.2096,0.0000,0.6667,0.0479,1.0000,1.0000,0.0000,-2.1202,0.6198
163,CLEAN PRISON,GROW,0,1.3357,1.0000,1.0000,0.1786,1.0000,1.0000,1.0000,5.2195,0.6556
164,DOG CARRY OBEDIENT,HORSE,0,1.2020,1.0000,0.6667,0.0101,0.0000,1.0000,1.0000,6.2507,0.6829
165,CONNECTED CAR,FALL,1,0.3433,0.0000,1.0000,0.2165,1.0000,1.0000,1.0000,-2.9416,0.6660
166,WOLF ASK DIRTY FAMOUS,CAT,0,1.2206,1.0000,0.6667,0.1032,0.0000,1.0000,1.0000,8.1000,0.6937
167,SHARP TOOL SPREAD BURN,SPREAD,1,0.2764,0.0000,0.8333,0.1321,1.0000,0.5000,1.0000,-4.8181,0.6728
168,CAMERA,FAIL FALL BREAK ENGINE,0,1.1768,1.0000,0.5556,0.0509,0.6667,1.0000,0.0000,2.2516,0.6980
169,CONNECTED WEAPON,FALL,1,0.3360,0.0000,1.0000,0.1802,1.0000,1.0000,1.0000,-3.1917,0.6799
170,COMPLEX INSECT ENCODE TIME,UPDATE CAR,1,0.2702,0.0000,0.8889,0.0174,1.0000,0.6667,1.0000,-5.4868,0.6594
171,AUTOMATED SOLDIER SEE WEAK SHARP LEADER,HEAR HEAVY CAR,1,0.2081,0.0000,0.6667,0.0406,1.0000,0.0000,1.0000,-9.5511,0.6369
172,LEADER,BURN BREAK DENSE CAR,1,0.3329,0.0000,1.0000,0.1643,1.0000,1.0000,1.0000,-1.2792,0.6217
173,MAN EAT STONE THINK ISOLATED CALM,CAT,1,0.2812,0.0000,0.9333,0.0060,0.8000,1.0000,1.0000,-7.5995,0.6046
174,POWER,GROW GROW SPREAD,1,0.2349,0.0000,0.6667,0.1744,1.0000,1.0000,0.0000,-1.8080,0.5862
175,FIRE,MOVE WOOD,1,0.1729,0.0000,0.5556,0.0310,0.6667,1.0000,0.0000,-2.0081,0.5655
176,ASHAMED,ELDER FALL,1,0.4609,0.0000,1.0000,0.8046,1.0000,1.0000,1.0000,-0.5392,0.5603
177,AUTOMATED PLAN,UPDATE DIRTY CLOCK,0,1.3105,1.0000,1.0000,0.0523,1.0000,1.0000,1.0000,5.8932,0.5978
178,DRONE GENERATE,TRUTH,1,0.2595,0.0000,0.6667,0.2977,1.0000,1.0000,0.0000,-2.5135,0.5809
179,WEAK SEED,GROW,1,0.3044,0.0000,1.0000,0.0219,1.0000,1.0000,1.0000,-2.3258,0.5670
180,CITY,BURN BURN,0,1.2567,1.0000,0.6667,0.2836,1.0000,1.0000,0.0000,2.8440,0.6015
181,CHAOTIC CAT,BREAK OUTCAST CROWD,0,1.2578,1.0000,0.7778,0.1222,0.6667,1.0000,0.6667,5.7499,0.6343
182,ELDER BREAK ORDERED VAST DUST HEAR,VAST FEAR,1,0.2690,0.0000,0.8333,0.0949,1.0000,1.0000,0.5000,-7.5533,0.6161
183,CROWD MOVE ORDERED SMALL MAP SPREAD,FALL,1,0.3213,0.0000,0.9333,0.2064,1.0000,0.8000,1.0000,-6.7387,0.6013
184,FAST NETWORK,HEAR SEED HEAR CONNECTED BIG SENSOR HEAR FAST BIRD,0,1.2646,1.0000,0.8190,0.0946,0.8571,1.0000,0.6000,5.5372,0.6345
185,VAST,SIGNAL GROW SPREAD,1,0.3476,0.0000,1.0000,0.2379,1.0000,1.0000,1.0000,-1.3314,0.6201
186,WOLF FALL ATTACK ENCRYPTED SLOW CAMERA,CHOOSE DULL MAP,1,0.2707,0.0000,0.8333,0.1037,1.0000,1.0000,0.5000,-7.5913,0.6027
187,BIRD FOLLOW INSECT FORGET,SAD BIRD BURN,1,0.2149,0.0000,0.6667,0.0745,0.0000,1.0000,1.0000,-5.6710,0.5833
188,DORMANT SEED,SPREAD,0,1.3782,1.0000,1.0000,0.3912,1.0000,1.0000,1.0000,6.5402,0.6230
189,INSECT,HEAR PATTERN,1,0.2194,0.0000,0.6667,0.0971,1.0000,1.0000,0.0000,-1.9778,0.6029
190,CAR,FAIL,1,0.2484,0.0000,0.6667,0.2418,1.0000,1.0000,0.0000,-1.7332,0.5851
