global_episode,round,trained_side,prefix,completion,valid,attacker_reward,loss
79,1,attacker,OPTIMAL CAMERA UPDATE SENSOR SEE FOREST,GENERATE COMPLEX ACTIVE PLAN FALL,0,1.2425,-2.4189
80,1,attacker,CALM,GUARD FALL GROW CAT HEAR WEAK ISOLATED CROWD,0,1.3852,-6.6588
81,1,attacker,HORSE BREAK SMALL TRAPPED WOLF SEE,HEAVY VAST DRONE FALL,0,1.2690,-2.5488
82,1,attacker,FAMOUS CAT CARRY DENSE DULL CAMERA,CHOOSE TRUSTED FOOD HEAR ISOLATED SHARP TOOL IMAGINE POWER,0,1.2414,-3.0781
83,1,attacker,FOOD FALL,LEADER MOVE FIRE MOVE VAST WEAPON,0,1.4430,-4.2768
84,1,attacker,DEAD,LEADER BURN FALL FAST STRONG SEED,0,1.4509,-7.6933
85,1,attacker,DORMANT POWER,GROW SPREAD FAIL FAIL,0,1.7254,-2.4861
86,1,attacker,PHONE,MOVE HAPPY BIRD FALL,0,1.3318,-8.2514
87,1,attacker,TOOL,GROW HEAR SLOW SMALL DRONE,0,1.2791,-9.5893
88,1,attacker,LANGUAGE,SPREAD GROW SPREAD SHARP OUTCAST TRUSTED CROWD,0,1.4792,-7.1872
89,1,attacker,WEAPON FALL,MOVE GUARD GROW GROW,0,1.5525,-4.1846
90,1,attacker,FAMOUS,DUST FAIL POISON MOVE CALM BIG BIRD,0,1.3475,-8.0366
91,1,attacker,BIRD BURN,FALL SECRET CITY MOVE HORSE,0,1.2265,-8.4762
92,1,attacker,NETWORK,GROW HEAR FAMOUS INSECT SPREAD,1,0.3069,-10.3386
93,1,attacker,POWER,GROW CORRUPTED COMPLEX ENCRYPTED CAR,0,1.3794,-7.3202
94,1,attacker,TRUTH,GROW BIRD SPREAD SEE BRIDGE,0,1.2404,-8.7115
95,1,attacker,ALGORITHM FAIL SPREAD,COMPUTE SLOW PLAN UPDATE PATTERN GROW,0,1.2546,-5.3696
96,1,attacker,SIGNAL,SPREAD BIRD FAIL HEAR SECRET MAN,0,1.3301,-8.0472
97,1,attacker,FREE,CAT TRUST WEAK CONNECTED STRANGER,1,0.3202,-14.2739
98,1,attacker,PROUD,STRANGER RUN HEAR SIMPLE WOLF FALL,0,1.3654,-7.3161
99,1,attacker,WEAK CAT,FALL BREAK CLEAN FOOD HEAR CONNECTED FIRE,0,1.2778,-6.9098
100,1,attacker,TOOL FALL,GROW SPREAD SPREAD UPDATE ENGINE,0,1.4655,-4.9416
101,1,attacker,VAST MEMORY,SPREAD MOVE DENSE COMPUTER,0,1.2768,-8.1406
102,1,attacker,DEBT,GROW MOVE BRIDGE SPREAD,0,1.2367,-9.1636
103,1,attacker,PLAN,UPDATE AUTOMATED CLOCK UPDATE CORRUPTED NETWORK GROW,0,1.4689,-7.5532
104,1,attacker,FAST,SOLDIER SEE CHAOTIC TRAPPED ROBOT,0,1.3425,-7.9906
105,1,attacker,DEAD,LEADER BURN FALL COMPUTE SECRET DORMANT POWER,0,1.4022,-9.1019
106,1,attacker,STRONG STRANGER FALL,MOVE ISOLATED ELDER FALL,0,1.1344,-7.5299
107,1,attacker,ACTIVE,PHONE FALL HEAR BOOK,0,1.3587,-8.2344
108,1,attacker,ALGORITHM,FAIL FAIL GROW SPREAD,1,0.5720,-10.8746
109,1,attacker,COMPUTER,SEE ORDERED SAD STRANGER,1,0.3211,-13.1874
110,1,attacker,COMPLEX CHANCE,GROW GROW SPREAD SPREAD,1,1.0536,-7.8950
111,1,attacker,SYSTEM,GROW UPDATE ISOLATED ENCRYPTED BOOK,0,1.3215,-8.2472
112,1,attacker,COMPUTER,FALL HEAR TOOL UPDATE TIME FAIL,1,0.1820,-13.6397
113,1,attacker,SENSOR COMPUTE PATTERN,UPDATE SMALL CLOCK FALL,1,0.2692,-15.8448
114,1,attacker,COMPLEX,SENSOR FALL MOVE BIG WEAPON,0,1.3646,-7.4972
115,1,attacker,SEED,MOVE SIMPLE SAD SOLDIER,1,0.3058,-12.6295
116,1,attacker,ROBOT,MOVE SHARP VAST SEED,0,1.3301,-8.0623
117,1,attacker,DORMANT SOLDIER HEAR CONNECTED HEAVY,SEED BURN FALL MOVE SECRET CROWD,1,0.2445,-22.3999
118,1,attacker,STRANGER EAT WEAK HEAVY,SEED CHOOSE SMALL INSECT,0,1.2803,-2.8816
119,1,attacker,ORDERED DUST,GROW HEAR BIRD MOVE DULL SIMPLE CAMERA,0,1.2952,-5.6377
120,1,attacker,PLAN FAIL,HEAR OPTIMAL FEAR GROW,0,1.2895,-5.9046
121,1,attacker,LAW,SPREAD GROW POISON HEAR ASHAMED TRUSTED MAN,0,1.3384,-7.4967
122,1,attacker,DULL CAR,HEAR OBEDIENT SECRET ELDER,1,0.2827,-12.5088
123,1,attacker,SMALL SOLDIER MOVE WEAK,HEAVY FIRE SPREAD GROW,1,0.2666,-20.0222
124,1,attacker,SYSTEM SPREAD,GROW GROW FALL COMPLEX ORDERED FIRE,0,1.5588,-3.3128
125,1,attacker,IDENTITY,SPREAD ENGINE GROW GROW,0,1.6205,-6.0250
126,1,attacker,BROKEN DRONE,FAIL GENERATE ENCRYPTED TIME,0,1.3448,-5.0024
127,1,attacker,STRONG COMPUTER,FALL UPDATE VAST ORDERED DORMANT CLOCK,0,1.2617,-6.1596
128,1,attacker,OPTIMAL POWER GROW,SPREAD GENERATE LAW FAIL,0,1.2841,-4.2060
129,1,attacker,LIE SPREAD,GROW FALL UPDATE RULE SPREAD,0,1.1484,-6.8972
130,1,attacker,SHARP KEY,HEAR CLEAN DULL INSECT SEE STRONG CORRUPTED PHONE,0,1.2706,-6.6554
131,1,attacker,ALGORITHM,SPREAD HEAR SIMPLE DIRTY KEY,0,1.3644,-6.8032
132,1,attacker,INSECT,SPREAD GROW HEAR ASHAMED ELDER,1,0.2681,-11.2205
133,1,attacker,PROUD,STRANGER BURN FALL HEAR SIMPLE WOLF ASK DOG,0,1.3517,-7.8665
134,1,attacker,COMPLEX TIME GROW,FALL SPREAD SPREAD MOVE TRAPPED DIRTY ELDER UPDATE,0,1.4517,-3.1528
135,1,attacker,ELDER FORGET FAMOUS,KEY WANT ENCRYPTED BORDER,0,1.2453,-6.2797
136,1,attacker,NETWORK,HEAR MAN GROW FAIL,0,1.2160,-6.6132
137,1,attacker,DRONE,FAIL GENERATE ISOLATED BORDER UPDATE SLOW CAMERA,1,0.2943,-13.2650
138,1,attacker,ISOLATED,WOLF BREAK ENGINE KNOW CORRUPTED COMPLEX CHOICE SEE DULL MAP MOVE CHILD MOVE COMPUTER BURN,0,1.4800,-9.1588
139,1,attacker,RULE GROW,MOVE SLOW SENSOR SPREAD,0,1.2857,-4.2115
140,1,attacker,FIRE,SEE PROUD STRANGER MOVE SAD GUARD,0,1.3063,-6.0617
141,1,attacker,TIME SPREAD,BURN BIRD FAIL GROW,0,1.2202,-7.0409
142,1,attacker,ACTIVE INSECT SPREAD,HEAR SIMPLE COMPUTER UPDATE DULL CLOCK,1,0.2817,-16.7876
143,1,attacker,OPTIMAL,CAMERA GENERATE SLOW PLAN,1,0.3134,-11.6375
144,1,attacker,OPTIMAL PLAN,UPDATE KEY FAIL GENERATE DORMANT COMPLEX TRUSTED MEMORY,0,1.2457,-6.1750
145,1,attacker,ACTIVE,CAR FALL HEAR FIRE SEE BIG SHARP CLOCK,1,0.3546,-13.0194
146,1,attacker,NETWORK,HEAR KEY HEAR ENCRYPTED RULE,1,0.5039,-9.0591
147,1,attacker,BOOK,SPREAD MOVE ISOLATED SECRET CROWD,0,1.3156,-7.9932
148,1,attacker,ERROR,GROW FALL SEE ORDERED DENSE POISON SPREAD,0,1.3508,-3.8426
149,1,attacker,FIRE,MOVE SAD SECRET BIRD,0,1.3023,-5.9188
150,1,attacker,COMPLEX,ENGINE FALL SOLDIER UPDATE COMPLEX TRUTH,0,1.2319,-8.6876
151,1,attacker,FAMOUS,INSECT HEAR SECRET HORSE,1,0.3476,-12.1627
152,1,attacker,STRONG KEY GROW,ACTIVE ENCRYPTED SENSOR HEAR CHILD,0,1.2653,-4.6354
153,1,attacker,POISON,FALL COMPUTE ORDERED DUST MOVE SAD HAPPY SOLDIER,0,1.2850,-9.1548
154,1,attacker,ENCRYPTED TRUTH,GROW SPREAD FAIL FALL,0,1.3223,-5.8120
155,1,attacker,ERROR,SPREAD BIG ISOLATED BROKEN LEADER FAIL,0,1.3309,-4.0589
156,1,attacker,POWER,SPREAD HEAR ANGRY WOMAN,0,1.3214,-7.7813
157,1,attacker,SENSOR,FAIL FALL ENCODE SLOW ENCRYPTED PLAN UPDATE SIMPLE SMALL CAR MOVE CLOCK,0,1.2859,-7.7940
158,1,attacker,TRUSTED,POISON MOVE TRAPPED CHILD,1,0.3788,-11.2257
159,1,attacker,ERROR,GROW GROW HEAR CROWD,0,1.6271,-3.5336
160,1,attacker,ERROR,SPREAD HEAR CONNECTED CAT,0,1.3565,-4.2934
161,1,attacker,FIRE,MOVE FAST ENGINE MOVE DULL CLOCK GROW,1,0.4586,-9.7943
162,1,attacker,FIRE,MOVE ACTIVE CAR SPREAD,1,0.3154,-10.1952
163,1,attacker,CLEAN WATER,GROW BURN SPREAD MOVE MAP,0,1.2723,-6.8446
164,1,attacker,CHANCE,SPREAD GROW FAIL SPREAD,0,1.4866,-6.3321
165,1,attacker,WATER,BURN FALL BURN FAIL,0,1.4906,-7.6802
166,1,attacker,TRUSTED,POISON MOVE OUTCAST DOG,0,1.3606,-7.3978
167,1,attacker,ERROR,GROW HEAR STRONG ISOLATED BOOK,0,1.3536,-4.9209
168,1,attacker,NETWORK,HEAR CAR HEAR OBEDIENT HORSE,1,0.5236,-10.4701
169,1,attacker,CLOCK,HEAR ORDERED SHARP STRANGER,1,0.3077,-12.3638
170,1,attacker,BORDER,GROW MOVE SLOW OPTIMAL CAMERA,0,1.3398,-7.2107
171,1,attacker,RULE,SPREAD FAIL MOVE ORDERED DEAD LEADER,0,1.3214,-5.3626
172,1,attacker,CALM MAN CHOOSE LAW,FORGET ROBOT FALL ALGORITHM,0,1.3004,-4.1474
173,1,attacker,CLOCK,ENCODE ORDERED SECRET DEBT,0,1.3277,-7.9406
174,1,attacker,SHARP,CLOCK FALL HEAR OUTCAST MAN,0,1.3170,-7.7905
175,1,attacker,OUTCAST,ELDER ASK BIG OBEDIENT CAT,0,1.4663,-8.0558
176,1,attacker,ERROR,SPREAD GENERATE DORMANT SLOW COMPUTER,0,1.3136,-6.2002
177,1,attacker,OUTCAST,ELDER BETRAY FOOD WANT DIRTY CONNECTED SOLDIER HEAR HAPPY DORMANT HORSE CHOOSE LIE,0,1.4470,-8.5395
178,1,attacker,STRONG,WATER BURN FALL SOLDIER,0,1.3190,-8.1118
179,1,attacker,TRAPPED,SOLDIER BURN SEE OBEDIENT WOLF,1,0.3441,-13.6783
180,1,attacker,NETWORK,HEAR BORDER GROW BREAK SIMPLE CLOCK,0,1.3006,-8.3171
181,1,attacker,CAT KNOW CORRUPTED FAST GUARD KNOW,BOOK MOVE ISOLATED DENSE ELDER,0,1.2492,-4.4361
182,1,attacker,HEAVY CAR,FALL BREAK ENCRYPTED WEAPON MOVE CORRUPTED MAP,0,1.2784,-6.1293
183,1,attacker,STRANGER CARRY STONE,BREAK WEAK VAST DUST RUN,0,1.2564,-6.5976
184,1,attacker,INSECT SPREAD,BUILD SLOW AUTOMATED SOLDIER,0,1.2814,-6.1453
185,1,attacker,SHARP STRANGER,SEE SLOW SHARP DRONE FOLLOW ENCRYPTED VAST MEMORY RUN,0,1.2873,-7.1699
186,1,attacker,DRONE ENCODE CHAOTIC SYSTEM ENCODE TRUSTED,SIMPLE WEAPON BREAK CLOCK,0,1.2884,-4.3971
187,1,attacker,INSECT,HEAR TRAPPED CAT HEAR AUTOMATED CLOCK GROW,0,1.4114,-7.6867
188,1,attacker,ENGINE SEE ROAD,UPDATE WEAK SENSOR ENCODE VAST SIMPLE TRUTH,0,1.3127,-6.3359
189,1,attacker,ERROR,GROW GENERATE SYSTEM UPDATE DULL MAP,0,1.2880,-6.9490
190,1,attacker,HORSE ATTACK METAL,ATTACK OBEDIENT SOLDIER FORGET STRONG WEAPON,0,1.2231,-7.8227
191,1,attacker,MAN SEE CORRUPTED,MAP WANT REBELLIOUS FAST DRONE BURN,0,1.3035,-7.3179
192,1,attacker,NETWORK,SPREAD HEAR SLOW CHOICE,1,0.3047,-13.8164
193,1,attacker,ALGORITHM,GROW SPREAD UPDATE OBEDIENT CAT,0,1.3308,-8.1737
194,1,attacker,BIG CHILD,RUN BURN FALL BIG FOREST CARRY ENCRYPTED KEY,0,1.2586,-6.5581
195,1,attacker,DIRTY,SOLDIER BREAK VAST ROOM,0,1.4352,-7.7230
196,1,attacker,LIE,SPREAD GROW SEE DIRTY DIRTY DORMANT GUARD MOVE BIG SOLDIER,0,1.4906,-7.3111
197,1,attacker,WEAK SENSOR,FAIL SOLDIER FALL FAIL,0,1.5784,-5.1276
198,1,attacker,ELDER,TALK HEAR DEAD LEADER FALL,1,0.2128,-13.1896
199,1,attacker,ISOLATED MAN BUILD,SENSOR CARRY WEAPON MOVE CHAOTIC POISON CHOOSE SMALL PROUD STRANGER,0,1.2347,-7.0443
200,1,attacker,SLOW CROWD,HEAR TRUSTED POISON MOVE MAP,1,0.3110,-15.0463
201,1,attacker,CROWD,HELP CALM STRONG BIRD,1,0.2685,-13.3462
202,1,attacker,SIGNAL,SPREAD GROW CAT FAIL,0,1.2219,-8.3287
203,1,attacker,PATTERN,SPREAD FALL BURN SAD HAPPY HORSE FAIL,0,1.3472,-8.8191
204,1,attacker,FAST MAN,TALK SPREAD HEAR ANGRY CROWD,0,1.2048,-7.9845
205,1,attacker,SAD,MAN TALK FAIL FALL,0,1.4672,-6.9990
206,1,attacker,WOLF THINK HEAVY,WEAK CAR CHOOSE SIMPLE COMPLEX CROWD FORGET TRUSTED FOREST,0,1.2241,-7.0348
207,1,attacker,TIME,FAIL FAIL SPREAD GROW,1,0.5863,-11.7762
208,1,attacker,CHOICE,SPREAD GROW MOVE DORMANT FAST CAR,0,1.3475,-7.7242
209,1,attacker,WEAK,WOMAN RUN HEAR ENCRYPTED ISOLATED BOOK,0,1.4691,-8.3126
210,1,attacker,WOOD,BURN FALL HEAR OPTIMAL SOLDIER MOVE CALM GUARD,0,1.3179,-6.6654
211,1,attacker,SMALL BIRD,MOVE SLOW SOLDIER BURN,0,1.2880,-7.0438
212,1,attacker,ENGINE ENCODE FEAR ENCODE SIMPLE,BORDER FALL FAIL BURN,0,1.2747,-5.3078
213,1,attacker,ANGRY,WOLF BURN ATTACK BROKEN SOLDIER,1,0.4000,-8.3144
214,1,attacker,ANGRY,SOLDIER FALL HEAR SLOW FAST SEED,1,0.3648,-8.4744
215,1,attacker,CHILD,FORGET ORDERED INSECT CARRY BIG ISOLATED MAP,0,1.2961,-7.8605
216,1,attacker,DULL ROBOT,UPDATE ERROR FAIL SEE COMPLEX CORRUPTED PHONE,0,1.2649,-6.6720
217,1,attacker,COMPUTER BREAK KEY,FAIL FAIL UPDATE BROKEN STRONG DRONE,0,1.5218,-3.1055
218,1,attacker,DULL,CHILD FOLLOW TRUSTED SECRET GUARD,0,1.4384,-6.8264
219,1,attacker,FREE BIRD,BUILD HAPPY HORSE BURN,0,1.2101,-8.3704
220,1,attacker,CAT,RUN FALL FORGET CALM BIRD,1,0.2042,-14.8673
221,1,attacker,FREE FIRE BREAK DENSE CAR,TALK EAT STRONG GUARD,0,1.2860,-3.9728
222,1,attacker,WATER,FALL HEAR DIRTY PRISON,0,1.3236,-9.2658
223,1,attacker,HEAVY,PHONE FALL SEE AUTOMATED CONNECTED METAL,0,1.3220,-6.0142
224,1,attacker,STONE,BURN SPREAD WEAK ACTIVE SEED,0,1.3002,-10.0214
225,1,attacker,STRONG FIRE GROW,MOVE CAMERA WANT FAMOUS POISON,1,0.2422,-17.4674
226,1,attacker,HEAVY,CLOCK FALL NETWORK HEAR DULL OBEDIENT STRANGER,0,1.3290,-6.0025
227,1,attacker,POWER,GROW BREAK BROKEN TRAPPED ELDER,0,1.3481,-7.8710
228,1,attacker,ASHAMED MAN,BURN FALL WANT SAD SECRET DOG,1,0.2098,-13.3245
229,1,attacker,ANGRY,CHILD FALL MOVE CHAOTIC COMPUTER,1,0.3568,-8.9487
230,1,attacker,INSECT,HEAR ASHAMED ELDER GROW,1,0.2689,-12.9943
231,1,attacker,POWER,SPREAD GROW HEAR BORDER,0,1.1826,-8.2908
232,1,attacker,PHONE,FALL HEAR ASHAMED MAN,1,0.3395,-13.0198
233,1,attacker,GUARD,BURN FALL BURN GROW,1,0.4951,-11.3936
234,1,attacker,FAMOUS CAT,CARRY STONE FORGET DIRTY DORMANT WOLF,0,1.2693,-6.0503
235,1,attacker,CONNECTED DUST,SPREAD GROW FALL HEAR ORDERED VAST DUST,0,1.1872,-6.6168
236,1,attacker,LEADER,BREAK DULL BIG PHONE HEAR DOG,0,1.2880,-7.6567
