episode,source,prefix,completion,valid,attacker_reward,defender_reward,loss,baseline
144,attacker,FAMOUS,INSECT SPREAD,1,0.3383,-0.3383,0.0241,-0.4028
145,random,DENSE PHONE FALL SEE CALM BROKEN,LEADER,0,1.3306,-1.3306,-2.1667,-0.4492
146,attacker,FAMOUS,INSECT HEAR ASHAMED MAN SPREAD,1,0.3600,-0.3600,1.0050,-0.4447
147,random,COMPLEX,BOOK SPREAD,0,1.3430,-1.3430,-6.5582,-0.4896
148,attacker,FAMOUS,INSECT SPREAD,1,0.3383,-0.3383,0.0514,-0.4821
149,random,HAPPY STRANGER THINK WEAK,ISOLATED WOMAN,1,0.1880,-0.1880,1.9576,-0.4674
150,attacker,FAMOUS,INSECT GROW,1,0.3840,-0.3840,0.1232,-0.4632
151,random,STRONG MAN TALK FOLLOW POWER EAT,SECRET POISON,0,1.3650,-1.3650,-7.4357,-0.5083
152,attacker,FAMOUS,INSECT GROW,1,0.3840,-0.3840,0.1850,-0.5021
153,attacker,FAMOUS,INSECT GROW,1,0.3840,-0.3840,0.1757,-0.4962
154,attacker,FAMOUS,INSECT GROW,1,0.3840,-0.3840,0.1664,-0.4905
155,attacker,FAMOUS,INSECT SPREAD,1,0.3383,-0.3383,0.0506,-0.4829
156,random,CORRUPTED SYSTEM SPREAD,SPREAD,1,0.2031,-0.2031,0.1336,-0.4689
157,random,BIRD KNOW DUST SEE MAN BURN,FALL,1,0.2003,-0.2003,0.2829,-0.4555
158,attacker,FAMOUS,INSECT SPREAD,1,0.3383,-0.3383,0.0392,-0.4496
159,attacker,FAMOUS,INSECT SPREAD,1,0.3383,-0.3383,0.0371,-0.4441
160,attacker,FAMOUS,INSECT SPREAD,1,0.3383,-0.3383,0.0351,-0.4388
161,attacker,FAMOUS,INSECT SPREAD,1,0.3383,-0.3383,0.0332,-0.4338
162,attacker,FAMOUS,INSECT GROW,1,0.3840,-0.3840,0.0733,-0.4313
163,random,FIRE MOVE MOUNTAIN SPREAD MOVE SENSOR,MOVE WATER MOVE TRAPPED DULL WOMAN,0,1.2504,-1.2504,-15.3954,-0.4722
164,attacker,FAMOUS,INSECT SPREAD,1,0.3383,-0.3383,0.0435,-0.4655
165,random,STRONG,MAN BURN,1,0.3106,-0.3106,1.0549,-0.4578
166,attacker,FAMOUS,INSECT SPREAD,1,0.3383,-0.3383,0.0383,-0.4518
167,attacker,FAMOUS,INSECT SPREAD,1,0.3383,-0.3383,0.0361,-0.4461
168,random,BIRD HELP,ELDER,1,0.1685,-0.1685,0.9392,-0.4323
169,attacker,FAMOUS,INSECT GROW,1,0.3840,-0.3840,0.0725,-0.4298
170,attacker,FAMOUS,INSECT GROW,1,0.3840,-0.3840,0.0689,-0.4275
171,random,PATTERN GROW GROW,GROW,1,0.1037,-0.1037,0.3985,-0.4114
172,attacker,FAMOUS,INSECT SPREAD,1,0.3383,-0.3383,0.0227,-0.4077
173,attacker,FAMOUS,INSECT SPREAD,1,0.3383,-0.3383,0.0215,-0.4042
174,random,FAMOUS CAT HELP BROKEN CONNECTED GUARD,TRUST STRONG BIRD,0,1.2194,-1.2194,-9.0152,-0.4450
175,attacker,FAMOUS,INSECT SPREAD,1,0.3383,-0.3383,0.0329,-0.4397
176,attacker,FAMOUS,INSECT SPREAD,1,0.3383,-0.3383,0.0311,-0.4346
177,attacker,FAMOUS,INSECT GROW,1,0.3840,-0.3840,0.0761,-0.4321
178,attacker,FAMOUS,INSECT SPREAD,1,0.3383,-0.3383,0.0285,-0.4274
179,attacker,FAMOUS,INSECT SPREAD,1,0.3383,-0.3383,0.0270,-0.4229
180,attacker,FAMOUS,INSECT SPREAD,1,0.3383,-0.3383,0.0255,-0.4187
181,attacker,FAMOUS,SEED MOVE ROOM,0,1.3766,-1.3766,-11.4893,-0.4666
182,attacker,FAMOUS,INSECT GROW,1,0.3840,-0.3840,0.1255,-0.4624
183,random,FAMOUS POISON SPREAD GROW GROW,SPREAD,1,0.2613,-0.2613,0.1092,-0.4524
184,attacker,FAMOUS,INSECT SPREAD,1,0.3383,-0.3383,0.0338,-0.4467
185,attacker,FAMOUS,INSECT GROW,1,0.3840,-0.3840,0.0953,-0.4435
186,random,FREE,INSECT SPREAD,1,0.3586,-0.3586,0.1216,-0.4393
187,attacker,FAMOUS,INSECT SPREAD,1,0.3383,-0.3383,0.0299,-0.4342
188,attacker,FAMOUS,INSECT SPREAD,1,0.3383,-0.3383,0.0283,-0.4295
189,random,HORSE SEE KEY BURN KNOW CHILD,RUN,1,0.1931,-0.1931,0.5784,-0.4176
190,attacker,FAMOUS,INSECT SPREAD,1,0.3383,-0.3383,0.0233,-0.4137
191,attacker,FAMOUS,INSECT SPREAD,1,0.3383,-0.3383,0.0220,-0.4099
192,attacker,FAMOUS,INSECT GROW,1,0.3840,-0.3840,0.0396,-0.4086
193,random,SOLDIER,BUILD OUTCAST TRAPPED ELDER,0,1.2031,-1.2031,-9.2922,-0.4483
194,attacker,FAMOUS,INSECT GROW,1,0.3840,-0.3840,0.0986,-0.4451
195,attacker,FAMOUS,INSECT SPREAD,1,0.3383,-0.3383,0.0308,-0.4398
196,attacker,FAMOUS,INSECT SPREAD,1,0.3383,-0.3383,0.0293,-0.4347
197,attacker,FAMOUS,INSECT SPREAD,1,0.3383,-0.3383,0.0277,-0.4299
198,attacker,FAMOUS,INSECT SPREAD,1,0.3383,-0.3383,0.0262,-0.4253
199,attacker,FAMOUS,INSECT GROW,1,0.3840,-0.3840,0.0637,-0.4232
200,attacker,FAMOUS,INSECT GROW,1,0.3840,-0.3840,0.0606,-0.4213
201,attacker,FAMOUS,INSECT SPREAD,1,0.3383,-0.3383,0.0235,-0.4171
202,random,POISON,GROW,1,0.2071,-0.2071,0.2292,-0.4066
203,attacker,FAMOUS,INSECT SPREAD,1,0.3383,-0.3383,0.0193,-0.4032
204,attacker,FAMOUS,INSECT SPREAD,1,0.3383,-0.3383,0.0183,-0.4000
205,attacker,FAMOUS,INSECT GROW,1,0.3840,-0.3840,0.0247,-0.3992
206,random,WATER FALL FALL,FALL,1,0.1000,-0.1000,0.3783,-0.3842
207,attacker,FAMOUS,INSECT GROW,1,0.3840,-0.3840,0.0003,-0.3842
208,attacker,FAMOUS,INSECT SPREAD,1,0.3383,-0.3383,0.0128,-0.3819
209,random,COMPLEX INSECT GENERATE ALGORITHM,GROW,1,0.3319,-0.3319,0.0547,-0.3794
210,attacker,FAMOUS,INSECT SPREAD,1,0.3383,-0.3383,0.0115,-0.3773
211,attacker,FAMOUS,INSECT SPREAD,1,0.3383,-0.3383,0.0109,-0.3754
212,attacker,FAMOUS,INSECT SPREAD,1,0.3383,-0.3383,0.0103,-0.3735
213,attacker,FAMOUS,INSECT SPREAD,1,0.3383,-0.3383,0.0097,-0.3718
214,attacker,FAMOUS,INSECT SPREAD,1,0.3383,-0.3383,0.0092,-0.3701
215,random,ELDER,FALL,1,0.2537,-0.2537,0.1944,-0.3643
216,random,PATTERN,SPREAD,1,0.2312,-0.2312,0.0740,-0.3576
217,random,FAMOUS,INSECT SPREAD,1,0.3383,-0.3383,0.0053,-0.3567
218,random,FREE,SEED GROW,1,0.3744,-0.3744,-0.0836,-0.3575
219,attacker,FAMOUS,INSECT GROW,1,0.3840,-0.3840,-0.0417,-0.3589
220,random,ISOLATED CROWD CARRY AUTOMATED,KEY MOVE BRIDGE,1,0.2120,-0.2120,1.2958,-0.3515
221,attacker,FAMOUS,INSECT SPREAD,1,0.3383,-0.3383,0.0035,-0.3509
222,attacker,FAMOUS,INSECT SPREAD,1,0.3383,-0.3383,0.0033,-0.3502
223,random,DENSE PHONE MOVE,BIRD,1,0.3095,-0.3095,0.2006,-0.3482
224,attacker,FAMOUS,INSECT SPREAD,1,0.3383,-0.3383,0.0026,-0.3477
225,attacker,FAMOUS,INSECT SPREAD,1,0.3383,-0.3383,0.0024,-0.3472
226,random,CHANCE GROW GROW SPREAD GROW SPREAD,SPREAD,1,0.1627,-0.1627,0.0635,-0.3380
227,random,BIRD BREAK WEAK CLEAN CAT,WANT LAW,1,0.3372,-0.3372,0.0071,-0.3380
228,attacker,FAMOUS,INSECT SPREAD,1,0.3383,-0.3383,-0.0001,-0.3380
229,attacker,FAMOUS,INSECT SPREAD,1,0.3383,-0.3383,-0.0001,-0.3380
230,attacker,FAMOUS,INSECT GROW,1,0.3840,-0.3840,-0.0755,-0.3403
231,attacker,FAMOUS,INSECT SPREAD,1,0.3383,-0.3383,0.0005,-0.3402
232,attacker,FAMOUS,INSECT SPREAD,1,0.3383,-0.3383,0.0005,-0.3401
233,attacker,FAMOUS,INSECT SPREAD,1,0.3383,-0.3383,0.0004,-0.3400
234,attacker,FAMOUS,INSECT SPREAD,1,0.3383,-0.3383,0.0004,-0.3399
235,attacker,FAMOUS,INSECT SPREAD,1,0.3383,-0.3383,0.0004,-0.3398
236,attacker,FAMOUS,INSECT SPREAD,1,0.3383,-0.3383,0.0004,-0.3398
237,random,CLEAN,INSECT GROW,1,0.3547,-0.3547,-0.0370,-0.3405
238,attacker,FAMOUS,INSECT SPREAD,1,0.3383,-0.3383,0.0005,-0.3404
239,attacker,FAMOUS,INSECT GROW,1,0.3840,-0.3840,-0.0740,-0.3426
240,attacker,FAMOUS,INSECT SPREAD,1,0.3383,-0.3383,0.0010,-0.3424
241,attacker,FAMOUS,INSECT SPREAD,1,0.3383,-0.3383,0.0010,-0.3422
242,attacker,FAMOUS,INSECT SPREAD,1,0.3383,-0.3383,0.0009,-0.3420
243,attacker,FAMOUS,FIRE FOLLOW SLOW INSECT SPREAD,0,1.3423,-1.3423,-22.1409,-0.3920
244,attacker,FAMOUS,INSECT GROW,1,0.3840,-0.3840,0.0138,-0.3916
245,attacker,FAMOUS,INSECT SPREAD,1,0.3383,-0.3383,0.0124,-0.3889
246,attacker,FAMOUS,INSECT SPREAD,1,0.3383,-0.3383,0.0118,-0.3864
247,random,ORDERED TOOL SPREAD FALL,GROW,1,0.2922,-0.2922,0.1507,-0.3817
248,attacker,FAMOUS,INSECT SPREAD,1,0.3383,-0.3383,0.0100,-0.3795
249,attacker,FAMOUS,INSECT SPREAD,1,0.3383,-0.3383,0.0095,-0.3774
250,random,FIRE GROW FALL,SPREAD,1,0.2574,-0.2574,0.1256,-0.3714
251,random,FEAR,SPREAD,1,0.2077,-0.2077,0.0493,-0.3632
252,attacker,FAMOUS,INSECT SPREAD,1,0.3383,-0.3383,0.0057,-0.3620
253,attacker,FAMOUS,INSECT SPREAD,1,0.3383,-0.3383,0.0054,-0.3608
254,attacker,FAMOUS,INSECT SPREAD,1,0.3383,-0.3383,0.0051,-0.3597
255,attacker,FAMOUS,INSECT GROW,1,0.3840,-0.3840,-0.0436,-0.3609
256,attacker,FAMOUS,INSECT SPREAD,1,0.3383,-0.3383,0.0050,-0.3598
257,attacker,FAMOUS,INSECT SPREAD,1,0.3383,-0.3383,0.0048,-0.3587
258,attacker,FAMOUS,INSECT SPREAD,1,0.3383,-0.3383,0.0045,-0.3577
259,attacker,FAMOUS,INSECT GROW,1,0.3840,-0.3840,-0.0480,-0.3590
260,attacker,FAMOUS,INSECT SPREAD,1,0.3383,-0.3383,0.0045,-0.3580
261,random,CHOICE,SPREAD,1,0.2266,-0.2266,0.0360,-0.3514
262,random,MAP BURN,SPREAD,1,0.2310,-0.2310,0.0598,-0.3454
263,attacker,FAMOUS,INSECT SPREAD,1,0.3383,-0.3383,0.0015,-0.3450
264,random,SENSOR ENCODE TRUTH GENERATE,ENCRYPTED COMPLEX SIGNAL,0,1.2839,-1.2839,-9.8535,-0.3920
265,random,SMALL CROWD,SPREAD,1,0.3246,-0.3246,0.0607,-0.3886
266,attacker,FAMOUS,INSECT SPREAD,1,0.3383,-0.3383,0.0106,-0.3861
267,attacker,FAMOUS,INSECT SPREAD,1,0.3383,-0.3383,0.0100,-0.3837
268,attacker,FAMOUS,INSECT SPREAD,1,0.3383,-0.3383,0.0094,-0.3814
269,random,LANGUAGE GROW SPREAD SPREAD,SPREAD,1,0.1505,-0.1505,0.0676,-0.3699
270,random,SEED,GROW,1,0.2033,-0.2033,0.4323,-0.3615
271,random,POISON,SPREAD,1,0.2264,-0.2264,0.0850,-0.3548
272,attacker,FAMOUS,INSECT SPREAD,1,0.3383,-0.3383,0.0034,-0.3540
273,random,FREE DOG,KNOW LEADER,1,0.2724,-0.2724,0.7369,-0.3499
274,random,ROBOT ENCODE TIME GENERATE TIME,SEE STRONG BIRD FALL,1,0.3650,-0.3650,-0.1961,-0.3506
275,attacker,FAMOUS,INSECT SPREAD,1,0.3383,-0.3383,0.0025,-0.3500
276,attacker,FAMOUS,INSECT GROW,1,0.3840,-0.3840,-0.0665,-0.3517
277,attacker,FAMOUS,INSECT SPREAD,1,0.3383,-0.3383,0.0027,-0.3510
278,random,IDENTITY,SPREAD,1,0.2161,-0.2161,0.0316,-0.3443
279,attacker,FAMOUS,INSECT SPREAD,1,0.3383,-0.3383,0.0012,-0.3440
280,attacker,FAMOUS,INSECT SPREAD,1,0.3383,-0.3383,0.0011,-0.3437
281,random,DULL,CROWD FOLLOW SYSTEM SPREAD,0,1.4684,-1.4684,-14.1271,-0.3999
282,random,SHARP,CLOCK FALL,1,0.3072,-0.3072,0.3972,-0.3953
283,attacker,FAMOUS,INSECT SPREAD,1,0.3383,-0.3383,0.0110,-0.3925
284,attacker,FAMOUS,INSECT SPREAD,1,0.3383,-0.3383,0.0104,-0.3897
285,attacker,FAMOUS,INSECT SPREAD,1,0.3383,-0.3383,0.0098,-0.3872
286,random,CHAOTIC LAW,SPREAD,1,0.3165,-0.3165,0.0180,-0.3836
287,random,COMPLEX POWER GROW GROW SPREAD GROW,GROW,1,0.2621,-0.2621,0.1678,-0.3776
