episode,prefix,completion,valid,reward,grammar_reward,tag_reward,axis_reward,noun_tag_dist,verb_tag_dist,adj_tag_dist,loss,baseline
50,COMPUTER SEE BIRD FAIL,,1,0.2000,0.0000,0.6667,0.0000,1.0000,1.0000,0.0000,-11.8508,1.0773
51,SIGNAL FAIL,SECRET WOMAN,0,1.3795,1.0000,1.0000,0.3977,1.0000,1.0000,1.0000,1.8744,1.0924
52,RULE,RIVER BURN MAP BETRAY TALK DIRTY ENGINE,0,1.3472,1.0000,1.0000,0.2362,1.0000,1.0000,1.0000,1.1574,1.1052
53,SIMPLE CAR FALL,BIG SLOW GENERATE,0,1.3564,1.0000,0.9333,0.3820,1.0000,1.0000,0.8000,2.5224,1.1177
54,ROAD,TALK SLOW TRUTH IMAGINE MOVE WARN GROW BIG MAP,0,1.3147,1.0000,1.0000,0.0735,1.0000,1.0000,1.0000,0.8226,1.1276
55,PROUD ELDER,HEAR ASHAMED AUTOMATED DOG FALL BIRD MOVE REBELLIOUS,0,1.2735,1.0000,0.7778,0.2009,0.6667,1.0000,0.6667,0.9174,1.1349
56,AUTOMATED TIME FAIL,FAIL GROW SOLDIER,0,1.2719,1.0000,0.8333,0.1096,1.0000,0.5000,1.0000,1.3456,1.1417
57,CITY,LAW MOVE FEAR ORDERED DOG CALM GUARD SPREAD POISON FAIL,0,1.3056,1.0000,1.0000,0.0281,1.0000,1.0000,1.0000,0.6489,1.1499
58,STRANGER CARRY WOOD EAT TRAPPED HEAVY,BRIDGE AUTOMATED LAW LIE OPTIMAL,0,1.3746,1.0000,1.0000,0.3731,1.0000,1.0000,1.0000,4.3740,1.1611
59,GUARD FALL,,1,0.2000,0.0000,0.6667,0.0000,1.0000,1.0000,0.0000,-6.7458,1.1131
60,OBEDIENT BIRD SEE WOOD MOVE SECRET,CAMERA CHOICE GENERATE,0,1.3485,1.0000,1.0000,0.2426,1.0000,1.0000,1.0000,4.8055,1.1249
61,CONNECTED WOOD GROW,CAMERA FORGET BROKEN CROWD SEE TRUSTED DEBT CITY,0,1.2657,1.0000,0.8333,0.0783,1.0000,1.0000,0.5000,1.2996,1.1319
62,ENGINE SEE MAN GENERATE CORRUPTED FAMOUS,WOLF SENSOR BREAK BETRAY,0,1.2686,1.0000,0.8889,0.0097,0.6667,1.0000,1.0000,2.7112,1.1387
63,HEAVY CROWD,BURN GROW MOVE BUILD DORMANT SAD ASHAMED PATTERN,0,1.3276,1.0000,1.0000,0.1378,1.0000,1.0000,1.0000,1.4759,1.1482
64,TOOL GROW,CHANCE COMPUTER ROOM MAN,0,1.2108,1.0000,0.6296,0.1096,0.8889,1.0000,0.0000,0.4184,1.1513
65,SIMPLE COMPUTER FAIL,FIRE FREE DENSE DULL ISOLATED ACTIVE FALL,0,1.3451,1.0000,0.9630,0.2812,1.0000,1.0000,0.8889,1.9495,1.1610
66,BOOK GROW,SPREAD FORGET HAPPY ASHAMED BIRD,0,1.3022,1.0000,1.0000,0.0112,1.0000,1.0000,1.0000,0.8877,1.1681
67,RIVER,BIG STONE FAIL DULL SEE METAL GROW POISON,0,1.3132,1.0000,1.0000,0.0662,1.0000,1.0000,1.0000,0.7247,1.1753
68,LANGUAGE GROW,SLOW LIE COMPLEX,0,1.2842,1.0000,0.8889,0.0877,0.6667,1.0000,1.0000,0.5735,1.1808
69,OUTCAST POISON,WEAPON FALL DULL CHILD HEAVY HORSE FREE HAPPY ELDER CLOCK CHAOTIC DOG CHOICE EAT KNOW,0,1.3684,1.0000,0.9296,0.4478,0.8889,1.0000,0.9000,1.4385,1.1902
70,SMALL WOMAN ATTACK FAST INSECT TALK,CROWD HEAR CROWD ATTACK TRUST FOLLOW NETWORK SYSTEM SECRET SPREAD FALL FALL OBEDIENT SPREAD,0,1.2664,1.0000,0.8442,0.0656,0.7143,0.8182,1.0000,1.7478,1.1940
71,ELDER BUILD METAL ASK CLEAN DOG,SEED FALL SECRET CHOICE DORMANT BIG DIRTY CAMERA WANT METAL,0,1.2649,1.0000,0.8440,0.0586,0.8000,0.8571,0.8750,1.4657,1.1975
72,SLOW ENGINE FALL,FAMOUS ELDER FALL,0,1.2441,1.0000,0.6667,0.2206,1.0000,0.0000,1.0000,0.4149,1.1998
73,CROWD GROW,,1,0.2000,0.0000,0.6667,0.0000,1.0000,1.0000,0.0000,-6.5354,1.1498
74,PRISON,WOOD ELDER BUILD FIRE ELDER,0,1.2402,1.0000,0.6667,0.2010,1.0000,1.0000,0.0000,0.4505,1.1544
75,RULE GROW,,1,0.2000,0.0000,0.6667,0.0000,1.0000,1.0000,0.0000,-4.5970,1.1066
76,WOOD BURN,,1,0.2000,0.0000,0.6667,0.0000,1.0000,1.0000,0.0000,-4.3871,1.0613
77,RULE GROW,FAIL REBELLIOUS SPREAD LEADER BROKEN WOLF,0,1.3118,1.0000,1.0000,0.0591,1.0000,1.0000,1.0000,1.2266,1.0738
78,ELDER FALL,ENCODE GENERATE ERROR,0,1.2817,1.0000,0.6667,0.4085,1.0000,1.0000,0.0000,1.4735,1.0842
79,CONNECTED POISON BURN,ACTIVE MOUNTAIN,0,1.3083,1.0000,1.0000,0.0415,1.0000,1.0000,1.0000,2.1584,1.0954
80,ENGINE SEE CHAOTIC NETWORK FALL,COMPUTER ANGRY BURN SIMPLE ENGINE RUN VAST THINK STRONG BURN,0,1.1742,1.0000,0.5714,0.0139,0.5000,0.5000,0.7143,1.3566,1.0994
81,CORRUPTED INSECT,DRONE,0,1.3000,1.0000,0.6667,0.5000,1.0000,0.0000,1.0000,1.7102,1.1094
82,CLEAN FOOD BURN,BRIDGE LEADER WOLF HEAVY,0,1.3141,1.0000,1.0000,0.0705,1.0000,1.0000,1.0000,2.0677,1.1196
83,ENGINE ENCODE SYSTEM GENERATE LANGUAGE ENCODE,,0,1.2000,1.0000,0.6667,0.0000,1.0000,1.0000,0.0000,1.3566,1.1237
84,RIVER,SAD DORMANT ANGRY SPREAD BREAK ELDER SPREAD WEAPON PHONE HORSE FOLLOW CLEAN SEED CITY BURN,0,1.3066,1.0000,0.9667,0.0830,0.9000,1.0000,1.0000,0.8136,1.1328
85,ASHAMED ELDER,DRONE LEADER SOLDIER HEAVY SIMPLE STONE DORMANT OUTCAST FAIL BREAK FAMOUS DOG MEMORY BUILD VAST,0,1.2750,1.0000,0.8926,0.0362,0.7778,1.0000,0.9000,0.8421,1.1399
86,PROUD ELDER,HEAR DIRTY FAST OBEDIENT SAD DENSE SPREAD SEE SOLDIER AUTOMATED MAN SPREAD BOOK HEAR POISON,0,1.2608,1.0000,0.7926,0.1149,0.6000,1.0000,0.7778,0.6742,1.1460
87,KEY FAIL,SHARP FAIL BREAK TOOL TRUSTED POWER VAST UPDATE VAST CHILD CLOCK HEAR CHAOTIC DUST CORRUPTED,0,1.2748,1.0000,0.8214,0.1419,0.7500,0.7143,1.0000,0.8410,1.1524
88,WOOD BURN,DRONE MOVE GROW SAD HEAVY DOG UPDATE KEY SEED SLOW SIMPLE WEAPON ENCRYPTED UPDATE PLAN,0,1.2931,1.0000,0.9074,0.1043,0.8889,0.8333,1.0000,0.7373,1.1594
89,VAST BORDER GROW,,1,0.3000,0.0000,1.0000,0.0000,1.0000,1.0000,1.0000,-7.9079,1.1165
90,CHOICE GROW,MOUNTAIN SYSTEM FALL VAST REBELLIOUS,0,1.2434,1.0000,0.7222,0.1339,0.5000,0.6667,1.0000,0.6598,1.1228
91,DEBT GROW,,1,0.2000,0.0000,0.6667,0.0000,1.0000,1.0000,0.0000,-4.9975,1.0767
92,SYSTEM FAIL,CAT RUN THINK PROUD SPREAD EAT ROOM OUTCAST SMALL CAR METAL MAN INSECT SYSTEM OUTCAST,0,1.3313,1.0000,0.8977,0.3100,0.8182,0.8750,1.0000,1.5030,1.0894
93,POWER GROW,,1,0.2000,0.0000,0.6667,0.0000,1.0000,1.0000,0.0000,-4.9485,1.0449
94,NETWORK,BREAK STRANGER BIRD TRADE ROOM FALL BUILD SMALL SOLDIER MOVE WARN TIME TRUST BIRD BUILD,0,1.3287,1.0000,1.0000,0.1437,1.0000,1.0000,1.0000,1.3451,1.0591
95,AUTOMATED LANGUAGE,FALL SIGNAL CROWD TRUSTED DENSE SOLDIER GROW BURN SECRET LEADER DOG CAMERA EAT BREAK STRONG,0,1.3225,1.0000,0.9107,0.2465,0.8750,1.0000,0.8571,1.9116,1.0723
96,CORRUPTED NETWORK FAIL,CAR WOLF SPREAD MAP DRONE RUN,0,1.2862,1.0000,0.8857,0.1023,0.8571,0.8000,1.0000,2.0024,1.0830
97,DIRTY PRISON,MOVE,0,1.3613,1.0000,1.0000,0.3064,1.0000,1.0000,1.0000,2.4290,1.0969
98,REBELLIOUS ELDER,ASHAMED DRONE WATER THINK ORDERED REBELLIOUS WATER CONNECTED TRUSTED STRONG BETRAY FOLLOW WOOD FALL HEAR,0,1.2970,1.0000,0.9167,0.1100,1.0000,1.0000,0.7500,1.2076,1.1069
99,ENCRYPTED ENGINE,BUILD FAST SENSOR FALL,0,1.2457,1.0000,0.7778,0.0618,0.6667,1.0000,0.6667,1.1142,1.1138
100,SYSTEM GROW,SEE TRUSTED AUTOMATED ELDER GROW DIRTY COMPLEX SENSOR PATTERN LAW GROW TALK ROOM BIRD OPTIMAL,0,1.2589,1.0000,0.8222,0.0609,0.8000,0.6667,1.0000,0.8904,1.1211
101,ROAD,HEAVY ENGINE SOLDIER SOLDIER HELP HEAVY COMPLEX ALGORITHM MOVE WEAPON MOVE DULL CLOCK BURN SIMPLE,0,1.3154,1.0000,1.0000,0.0768,1.0000,1.0000,1.0000,0.8318,1.1308
102,HOME,CARRY FIRE MOVE ACTIVE,0,1.3512,1.0000,1.0000,0.2562,1.0000,1.0000,1.0000,1.1222,1.1418
103,MARKET,GUARD,0,1.1322,1.0000,0.3333,0.1611,1.0000,0.0000,0.0000,-0.0472,1.1414
104,LAW,CORRUPTED BIG PATTERN HEAR BIG LANGUAGE HEAR SIMPLE OUTCAST FOOD,0,1.3402,1.0000,0.9444,0.2843,0.8333,1.0000,1.0000,0.9750,1.1513
105,NETWORK GROW,TRUSTED OBEDIENT BREAK GUARD SPREAD,0,1.2881,1.0000,0.9333,0.0407,1.0000,0.8000,1.0000,0.7372,1.1581
106,STRANGER FALL,COMPUTER,0,1.2445,1.0000,0.6667,0.2225,1.0000,1.0000,0.0000,0.6649,1.1625
107,CHOICE GROW,,1,0.2000,0.0000,0.6667,0.0000,1.0000,1.0000,0.0000,-4.9357,1.1143
108,ENCRYPTED PLAN UPDATE ENCRYPTED ISOLATED BORDER,PATTERN MAN SMALL ELDER,0,1.3100,1.0000,0.8667,0.2499,0.6000,1.0000,1.0000,3.5838,1.1241
109,ANGRY ELDER,,0,1.2000,1.0000,0.6667,0.0000,1.0000,0.0000,1.0000,0.4761,1.1279
110,SENSOR COMPUTE SIGNAL UPDATE SECRET RULE,,1,0.3000,0.0000,1.0000,0.0000,1.0000,1.0000,1.0000,-16.4939,1.0865
111,MAN THINK TRUSTED DORMANT INSECT CARRY,ORDERED WEAK WOLF,0,1.2314,1.0000,0.7302,0.0620,0.3333,1.0000,0.8571,3.0152,1.0938
112,CORRUPTED IDENTITY,,0,1.2000,1.0000,0.6667,0.0000,1.0000,0.0000,1.0000,0.8977,1.0991
113,HEAVY ELDER SEE WATER ATTACK ENCRYPTED,FALL,0,1.3158,1.0000,1.0000,0.0789,1.0000,1.0000,1.0000,4.9200,1.1099
114,CHAOTIC FIRE,MAN BURN CALM BROKEN STRONG FALL MOVE FIRE SEE WANT SEE KEY SYSTEM WOOD BURN,0,1.3198,1.0000,0.9167,0.2238,0.7500,1.0000,1.0000,1.9277,1.1204
115,POISON FALL,MOVE SOLDIER INSECT SEED BREAK CAT PRISON FALL FALL HEAR CROWD UPDATE PROUD DOG FEAR,0,1.2760,1.0000,0.8833,0.0549,0.9000,0.7500,1.0000,0.9554,1.1282
116,MAP BURN,FAIL TRUST TOOL ALGORITHM GUARD BREAK MARKET,0,1.1696,1.0000,0.5185,0.0703,0.8889,0.6667,0.0000,0.2714,1.1303
117,PLAN FAIL,,1,0.2000,0.0000,0.6667,0.0000,1.0000,1.0000,0.0000,-5.7451,1.0837
118,OBEDIENT DOG SPREAD,OBEDIENT LEADER,0,1.1735,1.0000,0.5556,0.0341,0.6667,1.0000,0.0000,0.8299,1.0882
119,BIG WOMAN TALK,CHOICE HELP CROWD SEE GUARD,0,1.2322,1.0000,0.7667,0.0110,0.5000,0.8000,1.0000,1.7463,1.0954
120,WEAPON SPREAD,,1,0.2000,0.0000,0.6667,0.0000,1.0000,1.0000,0.0000,-5.8254,1.0507
121,PLAN SPREAD,KNOW ROOM,0,1.2243,1.0000,0.6667,0.1215,1.0000,1.0000,0.0000,1.1461,1.0593
122,CALM DOG MOVE DIRTY BOOK GROW,SECRET SOLDIER FREE SIMPLE CHAOTIC CITY GROW BURN,0,1.2259,1.0000,0.7440,0.0133,0.8571,0.5000,0.8750,3.3084,1.0677
123,INSECT GROW,REBELLIOUS FALL NETWORK HEAR PRISON ACTIVE SEE TRUSTED ELDER FOOD ISOLATED,0,1.2737,1.0000,0.8963,0.0241,0.8889,0.8000,1.0000,1.1460,1.0780
124,MEMORY SPREAD,CAMERA ASK BREAK SPREAD UPDATE BROKEN SYSTEM CLEAN FALL SMALL SAD ISOLATED COMPUTER FALL,0,1.2742,1.0000,0.8500,0.0960,0.8000,0.7500,1.0000,1.2528,1.0878
125,SYSTEM FAIL,OUTCAST ELDER ELDER,0,1.3732,1.0000,1.0000,0.3660,1.0000,1.0000,1.0000,1.5597,1.1020
126,ELDER BETRAY TRUSTED SHARP CAT,BREAK ASHAMED IMAGINE,0,1.3448,1.0000,1.0000,0.2242,1.0000,1.0000,1.0000,3.6939,1.1142
127,ORDERED SOLDIER BURN,FAIL,0,1.3517,1.0000,1.0000,0.2583,1.0000,1.0000,1.0000,2.7502,1.1261
128,PRISON,DRONE COMPUTER ROBOT CONNECTED FAIL SEE OBEDIENT ELDER TIME,0,1.3072,1.0000,1.0000,0.0360,1.0000,1.0000,1.0000,0.8713,1.1351
129,OUTCAST DOG,TALK FALL MOVE BUILD OPTIMAL ELDER GUARD,0,1.2998,1.0000,0.8889,0.1655,0.6667,1.0000,1.0000,1.2422,1.1434
130,COMPUTER FAIL,COMPUTE FALL,0,1.1847,1.0000,0.6000,0.0234,1.0000,0.8000,0.0000,0.2647,1.1454
131,CHOICE SPREAD,,1,0.2000,0.0000,0.6667,0.0000,1.0000,1.0000,0.0000,-5.0569,1.0981
132,WEAK TOOL,MAN ATTACK CHANCE SEED FAIL SIGNAL CHAOTIC BURN HEAVY BRIDGE ENCRYPTED,0,1.3049,1.0000,0.9111,0.1578,0.9000,1.0000,0.8333,1.7789,1.1085
133,DORMANT CLOCK,BURN GROW,0,1.3126,1.0000,1.0000,0.0630,1.0000,1.0000,1.0000,1.7257,1.1187
134,OBEDIENT BIRD SPREAD,MOVE RIVER ANGRY SENSOR,0,1.3436,1.0000,1.0000,0.2181,1.0000,1.0000,1.0000,2.0281,1.1299
135,FAMOUS MAP,THINK SECRET FAIL SHARP CLEAN SHARP FOREST INSECT BURN RUN,0,1.2986,1.0000,0.8667,0.1930,1.0000,1.0000,0.6000,1.4458,1.1384
136,WOLF ATTACK MAN WANT WOLF HEAR,SPREAD WOOD METAL,0,1.2209,1.0000,0.6667,0.1047,1.0000,1.0000,0.0000,1.9754,1.1425
137,OUTCAST POISON,PATTERN WANT SMALL FALL CAT MEMORY ENCODE,0,1.3598,1.0000,1.0000,0.2989,1.0000,1.0000,1.0000,1.5658,1.1534
138,SAD GUARD SPREAD,ISOLATED CHILD FALL,0,1.2097,1.0000,0.5556,0.2154,0.0000,1.0000,0.6667,0.5560,1.1562
139,SYSTEM GROW,LEADER POISON MOVE STONE RULE,0,1.1790,1.0000,0.5139,0.1241,0.8750,0.6667,0.0000,0.1254,1.1573
140,COMPLEX WEAPON GROW,CHILD,0,1.3280,1.0000,1.0000,0.1400,1.0000,1.0000,1.0000,1.8451,1.1659
141,RIVER,HEAR TRADE MEMORY,0,1.2490,1.0000,0.6667,0.2452,1.0000,1.0000,0.0000,0.3495,1.1700
142,POISON BURN,MOUNTAIN ENCODE ORDERED STONE LEADER BREAK STRANGER STRONG SEE ASHAMED FALL,0,1.2652,1.0000,0.8571,0.0402,0.8571,0.7143,1.0000,0.5461,1.1748
143,COMPLEX CROWD SPREAD,,1,0.3000,0.0000,1.0000,0.0000,1.0000,1.0000,1.0000,-9.0339,1.1310
144,SIGNAL GROW,SHARP WOLF HORSE DUST WATER KNOW WOLF BRIDGE GROW ASHAMED WATER,0,1.2814,1.0000,0.8333,0.1572,1.0000,0.5000,1.0000,0.8883,1.1386
145,SMALL SENSOR GENERATE TIME GENERATE LANGUAGE,HEAR COMPUTER AUTOMATED WEAPON SOLDIER MOVE ASHAMED DOG KNOW THINK ASK CARRY STRONG SMALL CHANCE,0,1.2652,1.0000,0.7566,0.1911,0.5556,1.0000,0.7143,2.3668,1.1449
146,POISON SPREAD,,1,0.2000,0.0000,0.6667,0.0000,1.0000,1.0000,0.0000,-5.4439,1.0976
147,POWER,DOG SAD BIRD CHOOSE DULL ACTIVE CLOCK UPDATE ISOLATED HORSE VAST STRONG ATTACK STRONG NETWORK,0,1.3247,1.0000,1.0000,0.1237,1.0000,1.0000,1.0000,1.1483,1.1090
148,PROUD LEADER,GROW REBELLIOUS WANT,0,1.3463,1.0000,1.0000,0.2316,1.0000,1.0000,1.0000,1.6319,1.1209
149,AUTOMATED POWER GROW,LANGUAGE FALL RULE,0,1.2529,1.0000,0.8056,0.0559,0.7500,0.6667,1.0000,1.0916,1.1275
150,POWER SPREAD,KNOW BREAK SAD FORGET,0,1.3418,1.0000,1.0000,0.2090,1.0000,1.0000,1.0000,1.2684,1.1382
151,TRUSTED RULE,BURN GUARD ORDERED ISOLATED CAMERA WOMAN SECRET CLOCK FALL UPDATE HEAVY HOME SOLDIER SPREAD SMALL,0,1.3130,1.0000,0.9048,0.2077,1.0000,1.0000,0.7143,1.4714,1.1469
152,GUARD,POISON HEAR CHANCE,0,1.2098,1.0000,0.6667,0.0490,1.0000,1.0000,0.0000,0.2995,1.1501
153,CHOICE SPREAD,CAMERA BROKEN CHILD LEADER GENERATE BROKEN CLOCK AUTOMATED ROAD SOLDIER SEE ASHAMED GUARD MOVE,0,1.3143,1.0000,0.9524,0.1427,1.0000,0.8571,1.0000,0.9588,1.1583
154,SYSTEM GROW,,1,0.2000,0.0000,0.6667,0.0000,1.0000,1.0000,0.0000,-4.9936,1.1104
155,DUST,CHAOTIC WATER,0,1.1882,1.0000,0.5556,0.1078,0.6667,0.0000,1.0000,0.3876,1.1143
156,DEBT,IMAGINE POISON GROW AUTOMATED ACTIVE DEAD COMPUTE,0,1.3565,1.0000,1.0000,0.2827,1.0000,1.0000,1.0000,1.1962,1.1264
157,CAT RUN,FALL,0,1.1111,1.0000,0.3333,0.0556,1.0000,0.0000,0.0000,-0.1082,1.1256
158,WEAPON FALL,,1,0.2000,0.0000,0.6667,0.0000,1.0000,1.0000,0.0000,-6.0671,1.0793
159,PRISON,CROWD,0,1.1333,1.0000,0.3333,0.1666,1.0000,0.0000,0.0000,0.2455,1.0820
160,CITY,SEE SENSOR ELDER CONNECTED DENSE DRONE,0,1.3283,1.0000,1.0000,0.1413,1.0000,1.0000,1.0000,1.1917,1.0943
